ID,Month,Day,Year,CaptureTime,ReleaseTime,BandNumber,Species,Age,Sex,Wing,Weight,Culmen,Hallux,Tail,CaptureDateTime
1,9,19,1992,13:30,NA,877-76317,RT,I,U,385,920,25.7,30.1,219,1992-09-19T13:30:00Z
3,9,23,1992,12:45,NA,877-76319,RT,I,U,381,990,26.7,31.3,235,1992-09-23T12:45:00Z
4,9,23,1992,10:50,NA,745-49508,CH,I,F,265,470,18.7,23.5,220,1992-09-23T10:50:00Z
5,9,27,1992,11:15,NA,1253-98801,SS,I,F,205,170,12.5,14.3,157,1992-09-27T11:15:00Z
6,9,28,1992,11:25,NA,1207-55910,RT,I,U,412,1090,28.5,32.2,230,1992-09-28T11:25:00Z
7,9,28,1992,13:30,NA,877-76320,RT,I,U,370,960,25.3,30.1,212,1992-09-28T13:30:00Z
8,9,29,1992,11:45,NA,877-76321,RT,A,U,375,855,27.2,30,243,1992-09-29T11:45:00Z
9,9,29,1992,15:35,NA,877-76322,RT,A,U,412,1210,29.3,31.3,210,1992-09-29T15:35:00Z
10,9,30,1992,13:45,NA,1207-55911,RT,I,U,405,1120,26,30.2,238,1992-09-30T13:45:00Z
11,10,5,1992,13:30,NA,877-76323,RT,I,U,393,1010,26.3,30.8,222,1992-10-05T13:30:00Z
12,10,8,1992,13:45,NA,877-76324,RT,I,U,371,1010,25.4,29.7,217,1992-10-08T13:45:00Z
13,10,9,1992,12:30,NA,877-76325,RT,A,U,390,1120,28.9,30.9,213,1992-10-09T12:30:00Z
15,10,11,1992,11:00,NA,1207-55912,RT,I,U,416,1170,26.5,34,243,1992-10-11T11:00:00Z
16,10,11,1992,11:45,NA,1207-55913,RT,A,U,436,1390,30.5,34,232,1992-10-11T11:45:00Z
17,10,11,1992,12:40,NA,877-76326,RT,I,U,418,1150,27.1,31,238,1992-10-11T12:40:00Z
18,10,11,1992,14:20,NA,877-76327,RT,A,U,381,950,28.9,28.9,202,1992-10-11T14:20:00Z
19,10,12,1992,13:40,NA,877-76328,RT,I,U,378,910,25.7,28.2,227,1992-10-12T13:40:00Z
20,10,13,1992,11:00,NA,877-76329,RT,I,U,396,1010,24,26.9,227,1992-10-13T11:00:00Z
21,10,13,1992,14:50,NA,877-76330,RT,I,U,399,1070,26.4,31.2,222,1992-10-13T14:50:00Z
22,10,14,1992,13:15,NA,877-76331,RT,I,U,416,1190,28.8,31.6,237,1992-10-14T13:15:00Z
23,10,17,1992,12:10,NA,877-76332,RT,I,U,415,101,24.9,30.7,238,1992-10-17T12:10:00Z
24,10,22,1992,13:05,NA,877-76333,RT,A,U,392,1330,27,30.3,213,1992-10-22T13:05:00Z
25,10,23,1992,11:45,NA,877-76334,RT,I,U,380,990,26,30,211,1992-10-23T11:45:00Z
27,10,24,1992,14:35,NA,877-76335,RT,I,U,399,1100,26.2,32.5,190,1992-10-24T14:35:00Z
28,10,25,1992,12:05,NA,1207-55914,RT,A,U,401,1190,28.6,31.6,245,1992-10-25T12:05:00Z
29,10,27,1992,10:05,NA,1253-98802,SS,I,F,205,180,11.7,15,164,1992-10-27T10:05:00Z
30,10,27,1992,10:45,NA,608-48703,RT,I,U,427,1490,30.1,32.4,246,1992-10-27T10:45:00Z
31,10,27,1992,15:15,NA,1207-55915,RT,A,U,395,1040,27.1,31.4,207,1992-10-27T15:15:00Z
32,10,30,1992,11:05,NA,877-76336,RT,I,U,362,820,24.9,27.9,209,1992-10-30T11:05:00Z
33,11,3,1992,10:15,NA,1207-55916,RT,A,U,396,1030,26,29.7,200,1992-11-03T10:15:00Z
34,11,8,1992,11:45,NA,1207-55918,RT,A,U,391,1300,25.5,32.4,215,1992-11-08T11:45:00Z
35,11,8,1992,13:30,NA,1207-55919,RT,A,U,413,1500,26.5,31.3,219,1992-11-08T13:30:00Z
36,11,13,1992,10:45,NA,987-53707,RT,A,U,371,1080,25.3,27.2,198,1992-11-13T10:45:00Z
37,11,16,1992,11:15,NA,1207-55920,RT,A,U,385,1320,27.3,30.1,207,1992-11-16T11:15:00Z
38,11,21,1992,14:00,NA,877-76337,RT,A,U,378,1490,25.4,31.3,204,1992-11-21T14:00:00Z
39,11,22,1992,10:08,NA,1207-55921,RT,A,U,416,1500,29.1,30.8,205,1992-11-22T10:08:00Z
40,9,13,1993,14:25,NA,173-19904,SS,I,M,193,100,9.3,25.1098976109215,144,1993-09-13T14:25:00Z
41,9,17,1993,15:25,NA,193-19905,SS,I,M,171,88,9.7,11.5,136,1993-09-17T15:25:00Z
42,9,20,1993,13:45,NA,120407-804,CH,I,U,233,324,16,19.3,191,1993-09-20T13:45:00Z
43,9,21,1993,15:11,NA,877-76339,RT,I,U,384,1060,26.1,31.2,230,1993-09-21T15:11:00Z
44,9,22,1993,13:50,NA,877-76340,RT,I,U,382,1140,25.1,29.4,227,1993-09-22T13:50:00Z
45,9,22,1993,15:55,NA,877-76341,RT,I,U,390,1030,27.6,30.3,208,1993-09-22T15:55:00Z
46,9,27,1993,12:15,NA,877-76342,RT,I,U,390,1000,25.1,28.3,231,1993-09-27T12:15:00Z
47,9,27,1993,13:00,NA,877-76344,RT,I,U,393,1050,28.7,29.8,222,1993-09-27T13:00:00Z
48,9,27,1993,13:20,NA,877-76345,RT,I,U,378,1040,26.2,31.2,225,1993-09-27T13:20:00Z
49,9,27,1993,15:03,NA,877-76346,RT,I,U,398,1110,26.5,30.9,225,1993-09-27T15:03:00Z
50,9,28,1993,11:50,NA,877-76347,RT,I,U,412,1300,27.9,31.55,233,1993-09-28T11:50:00Z
51,9,28,1993,12:45,NA,877-76348,RT,I,U,400,980,25.7,29.3,214,1993-09-28T12:45:00Z
52,9,29,1993,9:53,NA,877-76349,RT,I,U,422,1120,26.4,28.3,233,1993-09-29T09:53:00Z
53,9,29,1993,10:25,NA,1253-98803,SS,I,F,202,134,12.4,13.7,158,1993-09-29T10:25:00Z
54,9,29,1993,15:30,NA,877-76350,RT,I,U,394,1270,27.8,31.6,245,1993-09-29T15:30:00Z
55,9,30,1993,13:25,NA,787-53708,RT,I,U,369,880,25,26.5,210,1993-09-30T13:25:00Z
56,10,1,1993,10:20,NA,745-49512,CH,I,F,252,340,16,20.8,230,1993-10-01T10:20:00Z
57,10,1,1993,10:45,NA,745-49513,CH,A,M,240,340,16.1,19.3,192,1993-10-01T10:45:00Z
58,10,3,1993,13:35,NA,1207-55922,RT,I,U,410,1255,29.7,31.4,229,1993-10-03T13:35:00Z
59,10,4,1993,11:25,NA,1207-55923,RT,I,U,241,1320,28.6,36.4,235,1993-10-04T11:25:00Z
60,10,7,1993,14:40,NA,1207-55924,RT,I,U,408,1320,30,33.4,221,1993-10-07T14:40:00Z
61,10,9,1993,9:38,NA,877-76351,RT,I,U,37.2,1180,20.2,26.65,210,1993-10-09T09:38:00Z
62,10,9,1993,10:20,NA,877-76552,RT,I,U,380,760,24.5,26.1,212,1993-10-09T10:20:00Z
63,10,10,1993,11:25,NA,1207-55927,RT,I,U,396,1250,26.6,32.5,225,1993-10-10T11:25:00Z
65,10,11,1993,11:35,NA,1173-19906,SS,I,M,158,100,10.8,10.5,122,1993-10-11T11:35:00Z
66,10,11,1993,14:00,NA,877-76354,RT,I,U,416,1300,27.3,32.7,235,1993-10-11T14:00:00Z
67,10,12,1993,13:15,NA,745-49515,CH,I,F,271,475,18.2,24.75,232,1993-10-12T13:15:00Z
68,10,13,1993,9:23,NA,1173-19907,SS,A,M,176,100,9.8,11.1,133,1993-10-13T09:23:00Z
70,10,21,1993,9:20,NA,877-76355,RT,A,U,390,1080,30.2,29.1,209,1993-10-21T09:20:00Z
71,10,21,1993,15:30,NA,877-76357,RT,A,U,391,1130,26.4,29.4,212,1993-10-21T15:30:00Z
72,10,22,1993,16:35,NA,877-76358,RT,A,U,387,1160,26.8,31,209,1993-10-22T16:35:00Z
73,10,23,1993,13:05,NA,1207-55941,RT,I,U,420,1345,29.5,34.3,250,1993-10-23T13:05:00Z
74,10,25,1993,14:12,NA,877-76359,RT,A,U,435,1385,32.6,30.6,235,1993-10-25T14:12:00Z
75,10,26,1993,15:55,NA,877-76360,RT,A,U,400,1210,25.5,28.6,222,1993-10-26T15:55:00Z
76,10,31,1993,11:35,NA,1207-55947,RT,I,U,398,1455,28,31.5,236,1993-10-31T11:35:00Z
77,11,5,1993,11:00,NA,877-76361,RT,I,U,395,1180,25,28.9,210,1993-11-05T11:00:00Z
78,11,18,1993,10:37,NA,877-76362,RT,I,U,410,1500,27.1,33.2,239,1993-11-18T10:37:00Z
79,9,6,1994,9:55,NA,1387-99101,RT,I,U,369,1025,27.1,31.5,228,1994-09-06T09:55:00Z
80,9,6,1994,10:40,NA,1387-99102,RT,I,U,372,930,26.1,31.1,220,1994-09-06T10:40:00Z
81,9,7,1994,12:27,NA,1387-99104,RT,I,U,415,1360,28.6,33.5,233,1994-09-07T12:27:00Z
82,9,7,1994,13:35,NA,1387-99103,RT,I,U,412,1255,27.7,32.6,236,1994-09-07T13:35:00Z
83,9,8,1994,12:10,NA,1423-16201,SS,I,F,205,194,12.6,14.4,155,1994-09-08T12:10:00Z
84,9,9,1994,9:02,NA,2003-58433,SS,I,F,204,159,12.5,14.8,152,1994-09-09T09:02:00Z
85,9,9,1994,10:47,NA,872-09611,SS,I,M,170,90,9.5,11.3,135,1994-09-09T10:47:00Z
86,9,12,1994,11:24,NA,1204-45804,CH,A,M,233,340,17.8,19.4,186,1994-09-12T11:24:00Z
87,9,12,1994,13:50,NA,1387-97105,RT,I,U,375,1065,25.9,30,216,1994-09-12T13:50:00Z
88,9,13,1994,11:58,NA,1387-79106,RT,I,U,385,1125,19.6,31.4,233,1994-09-13T11:58:00Z
89,9,15,1994,12:45,NA,1207-64601,RT,I,U,422,1340,28.7,32,248,1994-09-15T12:45:00Z
90,9,15,1994,13:20,NA,1387-79107,RT,I,U,391,1050,26.6,32.2,221,1994-09-15T13:20:00Z
91,9,15,1994,13:35,NA,1387-79108,RT,I,U,410,1210,27.5,25.1098976109215,227,1994-09-15T13:35:00Z
92,9,16,1994,10:23,NA,1387-79109,RT,I,U,385,980,26.8,27.8,223,1994-09-16T10:23:00Z
93,9,16,1994,11:20,NA,1387-79111,RT,I,U,381,1000,25.5,29.8,219,1994-09-16T11:20:00Z
94,8,18,1994,12:05,NA,1207-64602,RT,A,U,416,1390,28.1,31.3,225,1994-08-18T12:05:00Z
95,9,18,1994,13:20,NA,1207-64603,RT,I,U,406,1275,29,33.7,238,1994-09-18T13:20:00Z
96,9,19,1994,12:58,NA,1207-64604,RT,I,U,418,1180,30.1,25.1098976109215,235,1994-09-19T12:58:00Z
97,9,19,1994,14:05,NA,1207-64605,RT,I,U,412,1210,29.3,33.8,222,1994-09-19T14:05:00Z
98,9,20,1994,9:05,NA,2003-58435,SS,A,F,208,168,12.7,14.8,155,1994-09-20T09:05:00Z
99,9,20,1994,9:33,NA,2003-58436,SS,I,F,208,146,11.8,14.9,160,1994-09-20T09:33:00Z
100,9,20,1994,11:04,NA,1423-16203,SS,I,M,175,108,10,11.5,137,1994-09-20T11:04:00Z
101,9,20,1994,12:10,NA,1423-16204,SS,I,M,166,94,9.5,11.3,127,1994-09-20T12:10:00Z
102,9,29,1994,13:55,NA,1387-79112,RT,I,U,405,1085,27.7,29.9,238,1994-09-29T13:55:00Z
103,9,20,1994,14:00,NA,2003-58437,SS,A,F,198,188,12.2,25.1098976109215,150,1994-09-20T14:00:00Z
104,9,29,1994,14:45,NA,2003-58438,SS,I,F,200,154,12.4,14.4,150,1994-09-29T14:45:00Z
105,9,21,1994,13:50,NA,1387-79113,RT,I,U,380,810,25.9,28.7,229,1994-09-21T13:50:00Z
106,9,23,1994,11:48,NA,1387-79114,RT,I,U,381,905,27.9,29.1,227,1994-09-23T11:48:00Z
107,9,26,1994,10:28,NA,872-09612,SS,I,M,169,94,9,10.2,129,1994-09-26T10:28:00Z
108,9,26,1994,10:54,NA,2206-35417,CH,I,F,260,420,19.6,23.9,220,1994-09-26T10:54:00Z
109,9,26,1994,12:10,NA,1207-64606,RT,I,U,428,1240,29.1,34.7,245,1994-09-26T12:10:00Z
110,9,26,1994,14:02,NA,1207-64607,RT,I,U,400,990,26.9,31.4,223,1994-09-26T14:02:00Z
111,9,27,1994,8:00,NA,1705-24603,CH,I,F,265,365,16.8,22.5,224,1994-09-27T08:00:00Z
112,9,27,1994,11:55,NA,1423-16205,SS,I,M,177,91,10.2,11.3,133,1994-09-27T11:55:00Z
113,9,27,1994,15:40,NA,1307-79115,RT,I,U,381,1010,25.8,31.7,210,1994-09-27T15:40:00Z
114,9,28,1994,9:25,NA,1387-79116,RT,I,U,403,980,26.3,29.7,234,1994-09-28T09:25:00Z
115,9,28,1994,11:10,NA,1387-79117,RT,I,U,382,860,26.5,29,219,1994-09-28T11:10:00Z
116,9,28,1994,11:38,NA,1387-79118,RT,I,U,382,970,25.8,29,216,1994-09-28T11:38:00Z
117,9,28,1994,13:02,NA,1387-79119,RT,I,U,399,980,27.5,29.9,230,1994-09-28T13:02:00Z
118,9,29,1994,13:55,NA,1387-79120,RT,I,U,380,985,23.9,29,223,1994-09-29T13:55:00Z
119,9,29,1994,13:16,NA,1387-79121,RT,I,U,375,990,25.6,30.6,220,1994-09-29T13:16:00Z
120,9,30,1994,10:39,NA,1207-64608,RT,I,U,420,1210,27.8,32.6,241,1994-09-30T10:39:00Z
121,10,3,1994,11:13,NA,872-09613,SS,I,M,170,89,8.6,11,136,1994-10-03T11:13:00Z
122,10,3,1994,13:07,NA,872-09614,SS,A,M,177,97,10,11.3,137,1994-10-03T13:07:00Z
123,10,4,1994,13:37,NA,1387-79122,RT,I,U,375,990,28,29.5,223,1994-10-04T13:37:00Z
124,10,4,1994,14:45,NA,1207-64609,RT,I,U,395,1170,28.1,31.7,238,1994-10-04T14:45:00Z
125,10,5,1994,11:55,NA,872-09615,SS,A,M,170,93,10.1,11.2,126,1994-10-05T11:55:00Z
126,10,5,1994,13:55,NA,1207-64610,RT,I,U,406,1350,30.5,32,235,1994-10-05T13:55:00Z
127,10,5,1994,15:17,NA,1207-64611,RT,I,U,414,1370,29.3,33,240,1994-10-05T15:17:00Z
128,10,5,1994,16:00,NA,872-09616,SS,I,M,173,103,9.7,19.4,137,1994-10-05T16:00:00Z
129,10,6,1994,10:45,NA,2003-58439,SS,I,F,209,151,12.2,13.9,160,1994-10-06T10:45:00Z
130,10,6,1994,11:23,NA,872-09617,SS,I,M,177,101,10.3,12.1,140,1994-10-06T11:23:00Z
131,10,7,1994,10:50,NA,1387-79123,RT,I,U,388,985,26.9,29.8,220,1994-10-07T10:50:00Z
132,10,7,1994,11:24,NA,1387-79124,RT,I,U,277,940,26.5,30.4,218,1994-10-07T11:24:00Z
133,10,7,1994,12:15,NA,1207-64612,RT,I,U,423,1310,27.4,34.1,234,1994-10-07T12:15:00Z
134,10,7,1994,15:40,NA,1387-79125,RT,I,U,365,1035,26.1,30.8,232,1994-10-07T15:40:00Z
135,10,7,1994,16:35,NA,1387-79126,RT,I,U,383,965,26.1,31.8,221,1994-10-07T16:35:00Z
136,10,10,1994,11:02,NA,1387-79127,RT,I,U,391,1125,25.4,30.9,220,1994-10-10T11:02:00Z
137,10,10,1994,12:01,NA,1387-79128,RT,I,U,389,975,26.4,30.3,232,1994-10-10T12:01:00Z
138,10,10,1994,12:23,NA,1387-79129,RT,I,U,392,1140,26.2,29.8,214,1994-10-10T12:23:00Z
139,10,10,1994,13:10,NA,1387-79130,RT,I,U,375,950,25.3,29.9,225,1994-10-10T13:10:00Z
140,10,10,1994,13:50,NA,1207-64613,RT,I,U,410,1210,28.1,28.9,238,1994-10-10T13:50:00Z
141,10,10,1994,15:07,NA,872-09618,SS,I,M,179,95,10.8,11.6,133,1994-10-10T15:07:00Z
142,10,11,1994,8:52,NA,872-09619,SS,I,M,172,89,9.4,10.8,136,1994-10-11T08:52:00Z
143,10,11,1994,12:36,NA,2003-58440,SS,A,F,202,195,12.4,14.1,151,1994-10-11T12:36:00Z
144,10,12,1994,11:15,NA,1423-16206,SS,I,M,174,93,9.5,11,131,1994-10-12T11:15:00Z
145,10,13,1994,13:05,NA,1207-64614,RT,I,U,422,1205,28.8,31.3,238,1994-10-13T13:05:00Z
146,10,13,1994,14:00,NA,1387-79131,RT,I,U,385,1045,27.6,27.5,229,1994-10-13T14:00:00Z
147,10,16,1994,12:05,NA,1387-79132,RT,I,U,363,1090,26.6,28.8,202,1994-10-16T12:05:00Z
148,10,16,1994,11:30,NA,1207-64615,RT,I,U,450,1190,30.3,32.8,226,1994-10-16T11:30:00Z
149,10,18,1994,10:00,NA,1287-79133,RT,I,U,380,960,25.6,30.1,220,1994-10-18T10:00:00Z
150,10,18,1994,12:35,NA,1387-79134,RT,I,U,385,955,26.3,30.1,215,1994-10-18T12:35:00Z
151,10,18,1994,13:30,NA,1387-79135,RT,I,U,385,1110,24.7,30.2,122,1994-10-18T13:30:00Z
152,10,19,1994,9:08,NA,872-09620,SS,I,M,171,100,19.1,11.5,134,1994-10-19T09:08:00Z
153,10,19,1994,10:46,NA,1387-79136,RT,I,U,380,900,24,26.5,215,1994-10-19T10:46:00Z
154,10,19,1994,11:27,NA,1387-79137,RT,I,U,384,1075,26.5,30.7,208,1994-10-19T11:27:00Z
155,10,19,1994,12:15,NA,1387-79138,RT,I,U,373,980,27.9,32.1,211,1994-10-19T12:15:00Z
156,10,19,1994,12:55,NA,1387-79139,RT,I,U,381,940,27.8,34.2,220,1994-10-19T12:55:00Z
157,10,19,1994,13:35,NA,1387-79140,RT,I,U,363,1070,25.6,30.4,204,1994-10-19T13:35:00Z
158,10,19,1994,13:50,NA,1387-79141,RT,I,U,409,1120,29.4,31.6,229,1994-10-19T13:50:00Z
159,10,20,1994,12:00,NA,1387-79142,RT,A,U,390,1060,27.6,29,205,1994-10-20T12:00:00Z
160,10,21,1994,10:12,NA,2003-58441,SS,I,F,204,168,12.1,14.3,155,1994-10-21T10:12:00Z
161,10,22,1994,14:45,NA,1423-16207,SS,I,F,197,211,11.5,13.9,150,1994-10-22T14:45:00Z
162,10,23,1994,11:06,NA,1387-79143,RT,I,U,420,1125,27.2,27.4,244,1994-10-23T11:06:00Z
163,10,23,1994,11:36,NA,1387-79144,RT,I,U,381,1100,27,28.2,225,1994-10-23T11:36:00Z
164,10,23,1994,13:09,NA,1207-64616,RT,I,U,408,1360,30,33.9,239,1994-10-23T13:09:00Z
165,10,23,1994,14:25,NA,999-0165,RT,I,U,388,995,26.7,30.7,222,1994-10-23T14:25:00Z
166,10,23,1994,15:00,NA,1387-79146,RT,A,U,398,1095,21.1,31.4,209,1994-10-23T15:00:00Z
167,10,24,1994,9:05,NA,1423-16208,SS,I,F,209,196,12.1,14.6,164,1994-10-24T09:05:00Z
168,10,25,1994,10:25,NA,2003-58442,SS,I,F,209,176,11.7,15.1,159,1994-10-25T10:25:00Z
169,10,25,1994,14:00,NA,1387-079147,RT,A,U,394,1075,25.5,29.7,211,1994-10-25T14:00:00Z
170,10,25,1994,14:19,NA,1423-11209,SS,A,F,204,180,12.3,15.2,160,1994-10-25T14:19:00Z
171,10,26,1994,9.12,NA,1423-16210,SS,I,F,204,164,12.3,14.3,157,1994-10-26T09:12:00Z
172,10,26,1994,10:29,NA,2003-58443,SS,I,F,209,158,12.2,14.4,160,1994-10-26T10:29:00Z
173,10,26,1994,11:39,NA,1387-79148,RT,I,U,394,1140,26.8,29.2,216,1994-10-26T11:39:00Z
174,10,26,1994,14:55,NA,1207-64617,RT,I,U,416,1240,27.9,31.8,250,1994-10-26T14:55:00Z
175,10,26,1994,15:40,NA,1207-64618,RT,I,U,445,1465,29.7,34.6,260,1994-10-26T15:40:00Z
176,10,27,1994,9:15,NA,2003-58444,SS,I,F,209,169,12.1,14.5,164,1994-10-27T09:15:00Z
177,10,27,1994,10:55,NA,1387-79149,RT,I,U,388,1105,26.7,28.9,217,1994-10-27T10:55:00Z
178,10,27,1994,11:50,NA,1387-79150,RT,I,U,397,1010,27.1,31.4,228,1994-10-27T11:50:00Z
179,10,27,1994,12:24,NA,1387-79151,RT,I,U,384,1075,26.3,30.5,218,1994-10-27T12:24:00Z
180,10,27,1994,13:37,NA,1387-79152,RT,I,U,379,1060,27.9,30.9,220,1994-10-27T13:37:00Z
181,10,28,1994,10:05,NA,1387-79199,RT,I,U,393,1015,27.6,31.1,227,1994-10-28T10:05:00Z
182,10,28,1994,10:45,NA,1387-79153,RT,I,U,386,1100,26,30.2,211,1994-10-28T10:45:00Z
183,10,29,1994,11:05,NA,1387-79154,RT,I,U,397,1010,25,30.6,222,1994-10-29T11:05:00Z
184,10,29,1994,11:50,NA,1387-79155,RT,I,U,382,1000,26.3,30.1,225,1994-10-29T11:50:00Z
185,11,1,1994,10:45,NA,1387-79156,RT,I,U,386,980,25.4,30.2,221,1994-11-01T10:45:00Z
186,11,1,1994,11:21,NA,1387-79157,RT,I,U,417,1240,28.7,32.4,231,1994-11-01T11:21:00Z
187,11,2,1994,11:41,NA,1387-79158,RT,I,U,403,1360,27.9,33.1,235,1994-11-02T11:41:00Z
188,11,2,1994,12:26,NA,1204-45805,CH,A,M,239,183,17.3,19.2,182,1994-11-02T12:26:00Z
189,11,2,1994,12:20,NA,1207-64619,RT,I,U,401,1405,29.1,25.1098976109215,235,1994-11-02T12:20:00Z
190,11,2,1994,14:52,NA,1387-79159,RT,A,U,377,1055,27,29.1,200,1994-11-02T14:52:00Z
191,11,6,1994,9:55,NA,1207-64620,RT,A,U,432,1670,27.1,32.9,216,1994-11-06T09:55:00Z
192,11,6,1994,10:30,NA,1207-64621,RT,I,U,390,1250,26.2,30.5,223,1994-11-06T10:30:00Z
193,11,6,1994,11:40,NA,1387-79160,RT,I,U,381,1030,25.3,29.9,210,1994-11-06T11:40:00Z
195,11,7,1994,12:47,NA,1423-16211,SS,I,F,213,190,12.2,15.5,160,1994-11-07T12:47:00Z
196,11,9,1994,9:46,NA,872-09621,SS,I,M,172,105,10,10.8,125,1994-11-09T09:46:00Z
197,11,9,1994,15:02,NA,1807-53101,RT,I,U,390,1090,26.2,28.8,226,1994-11-09T15:02:00Z
198,11,11,1994,10:00,NA,1423-16212,SS,I,F,204,190,11.8,13.9,154,1994-11-11T10:00:00Z
199,11,11,1994,11:59,NA,1387-79162,RT,A,U,386,1050,28.4,29.4,207,1994-11-11T11:59:00Z
200,11,11,1994,14:42,NA,1387-79163,RT,I,U,402,1110,26.1,30,238,1994-11-11T14:42:00Z
201,11,11,1994,15:01,NA,1423-16213,SS,I,F,201,206,12.1,13.5,151,1994-11-11T15:01:00Z
202,11,11,1994,15:23,NA,1423-16214,SS,I,F,202,195,12.1,14.8,158,1994-11-11T15:23:00Z
203,11,15,1994,11:40,NA,1387-79164,RT,A,U,374,1010,24.9,30.1,197,1994-11-15T11:40:00Z
204,11,16,1994,11:15,NA,1807-53103,RT,I,U,358,880,24.2,28.7,250,1994-11-16T11:15:00Z
205,11,16,1994,12:19,NA,1387-79165,RT,I,U,370,1060,24.3,29.8,215,1994-11-16T12:19:00Z
206,11,21,1994,10:40,NA,1387-79166,RT,I,U,390,920,25.7,30,214,1994-11-21T10:40:00Z
207,11,21,1994,13:33,NA,1387-79167,RT,I,U,398,1195,26.2,29.8,230,1994-11-21T13:33:00Z
208,9,8,1995,13:30,NA,1387-170,RT,I,U,360,890,26,28.4,213,1995-09-08T13:30:00Z
209,9,8,1995,14:20,NA,1387-79171,RT,I,U,355,900,25.3,29,214,1995-09-08T14:20:00Z
210,9,13,1995,14:30,NA,1207-64623,RT,A,U,375,1110,22.2,31.5,224,1995-09-13T14:30:00Z
211,9,13,1995,14:45,NA,2003-59463,SS,I,F,200,160,10.2,13.2,153,1995-09-13T14:45:00Z
212,9,14,1995,10:05,NA,972-09622,SS,I,M,179,105,10.1,11.3,131,1995-09-14T10:05:00Z
213,9,15,1995,9:40,NA,2003-58464,SS,I,M,175,99,9.6,12.7,145,1995-09-15T09:40:00Z
214,9,15,1995,9:50,NA,2003-58465,SS,I,F,203,165,12,14.4,165,1995-09-15T09:50:00Z
215,9,15,1995,11:05,NA,2003-58466,SS,I,F,205,100,12,12.5,168,1995-09-15T11:05:00Z
216,9,17,1995,11:20,NA,1343-78401,SS,I,F,213,125,11.5,14.4,156,1995-09-17T11:20:00Z
217,9,17,1995,12:15,NA,1387-79173,RT,I,U,409,1100,29,32.6,215,1995-09-17T12:15:00Z
219,9,18,1995,14:20,NA,1343-78403,SS,I,F,195,155,11.9,14.6,155,1995-09-18T14:20:00Z
220,9,18,1995,15:10,NA,1207-64624,RT,I,U,415,1285,29.5,31.8,239,1995-09-18T15:10:00Z
221,9,19,1995,10:05,NA,1204-45806,CH,A,M,236,390,15.1,20.4,185,1995-09-19T10:05:00Z
222,9,20,1995,10:50,NA,1387-79174,RT,I,U,363,920,26.8,30.2,214,1995-09-20T10:50:00Z
223,9,23,1995,10:10,NA,1387-79175,RT,I,U,381,1025,25.4,30.8,232,1995-09-23T10:10:00Z
224,9,26,1995,11:05,NA,1387-79176,RT,A,U,350,940,26,29.1,205,1995-09-26T11:05:00Z
225,9,26,1995,13:03,NA,1387-79177,RT,I,U,398,1240,28.5,30.8,243,1995-09-26T13:03:00Z
226,9,26,1995,12:55,NA,1207-64625,RT,I,U,412,1160,27.8,33,255,1995-09-26T12:55:00Z
227,9,26,1995,13:55,NA,2003-58467,SS,I,F,203,150,11.5,13.9,159,1995-09-26T13:55:00Z
228,9,27,1995,9:40,NA,2003-58468,SS,I,F,201,130,11.7,14.4,156,1995-09-27T09:40:00Z
229,9,27,1995,12:50,NA,1387-79178,RT,I,U,411,1240,26.8,32.7,276,1995-09-27T12:50:00Z
230,9,27,1995,13:55,NA,1807-53104,RT,I,U,373,930,24.4,27.4,210,1995-09-27T13:55:00Z
