CODMES;efecto_pandemia;efecto_crisi2008;Morosidad_prct;PIB;PIB_vartri;PIB_varanual;PIB_lag3;PIB_lag6;PIB_lag9;PIB_lag12;TasaParo_prct;Tasaparo_vartri;Tasaparo_varanual;Tasaparo_lag3;Tasaparo_lag6;Tasaparo_lag9;Tasaparo_lag12;IPC;IPC_var_mensual;IPC_vartri;IPC_varanual;IPC_lag3;IPC_lag6;IPC_lag9;IPC_lag12;Precio_avg_m2viviendas;Precio_avg_m2viviendas_vartri;Precio_avg_m2viviendas_varanual;Precio_avg_m2viviendas_lag3;Precio_avg_m2viviendas_lag6;Precio_avg_m2viviendas_lag9;Precio_avg_m2viviendas_lag12;Precio_vivienda_x_Rentabrutahogar;Precio_vivienda_x_Rentabrutahogar_vartri;Precio_vivienda_x_Rentabrutahogar_varanual;Precio_vivienda_x_Rentabrutahogar_lag3;Precio_vivienda_x_Rentabrutahogar_lag6;Precio_vivienda_x_Rentabrutahogar_lag9;Precio_vivienda_x_Rentabrutahogar_lag12;Tipo_cambio_EUR_USD;Tipo_cambio_EUR_USD_vartri;Tipo_cambio_EUR_USD_varanual;Tipo_cambio_EUR_USD_lag3;Tipo_cambio_EUR_USD_lag6;Tipo_cambio_EUR_USD_lag9;Tipo_cambio_EUR_USD_lag12;Renta_dispo_hogares_mm;Renta_dispo_hogares_mm_vartri;Renta_dispo_hogares_mm_varanual;Renta_dispo_hogares_mm_lag3;Renta_dispo_hogares_mm_lag6;Renta_dispo_hogares_mm_lag9;Renta_dispo_hogares_mm_lag12
2014_01;0;1;13,53;95,41;0,37;0,41;95,06;94,9;94,93;95,02;25,93;0,78;-3,75;25,73;25,65;26,06;26,94;99,5;-1,87;-0,49;0,3;101,3;100,3;101,2;99,2;1459,4;-0,51;-3,76;1466,9;1495,3;1502,8;1516,4;6,7;0,6;-1,03;6,66;6,72;6,67;6,77;1,361;-0,18;2,42;1,3635;1,308;1,3026;1,33;146060;-15,44;-3,19;172725;153059;179251;150868
2014_02;0;1;13,43;95,41;0,37;0,41;95,06;94,9;94,93;95,02;25,93;0,78;-3,75;25,73;25,65;26,06;26,94;99,4;-0,1;-0,49;0,1;101,4;100,5;101,3;99,3;1459,4;-0,51;-3,76;1466,9;1495,3;1502,8;1516,4;6,7;0,6;-1,03;6,66;6,72;6,67;6,77;1,3659;1,23;2,25;1,3493;1,331;1,2982;1,34;146060;-15,44;-3,19;172725;153059;179251;150868
2014_03;0;1;13,39;95,41;0,37;0,41;95,06;94,9;94,93;95,02;25,93;0,78;-3,75;25,73;25,65;26,06;26,94;100,9;1,51;-0,49;-0,3;101,4;101,3;101,4;101,2;1459,4;-0,51;-3,76;1466,9;1495,3;1502,8;1516,4;6,7;0,6;-1,03;6,66;6,72;6,67;6,77;1,3823;0,87;6,63;1,3704;1,3348;1,3189;1,3;146060;-15,44;-3,19;172725;153059;179251;150868
2014_04;0;1;13,45;95,86;0,47;0,98;95,41;95,06;94,9;94,93;24,47;-5,63;-6,1;25,93;25,73;25,65;26,06;101,6;0,69;0,59;0,4;99,5;101,3;100,3;101,2;1459,3;-0,01;-2,89;1459,4;1466,9;1495,3;1502,8;6,79;1,34;1,8;6,7;6,66;6,72;6,67;1,3813;1,49;6,04;1,361;1,3635;1,308;1,3;176208;20,64;-1,7;146060;172725;153059;179251
2014_05;0;1;13,41;95,86;0,47;0,98;95,41;95,06;94,9;94,93;24,47;-5,63;-6,1;25,93;25,73;25,65;26,06;101,5;-0,1;0,59;0,2;99,4;101,4;100,5;101,3;1459,3;-0,01;-2,89;1459,4;1466,9;1495,3;1502,8;6,79;1,34;1,8;6,7;6,66;6,72;6,67;1,3732;0,53;5,78;1,3659;1,3493;1,331;1,3;176208;20,64;-1,7;146060;172725;153059;179251
2014_06;0;0;13,09;95,86;0,47;0,98;95,41;95,06;94,9;94,93;24,47;-5,63;-6,1;25,93;25,73;25,65;26,06;101,5;0;0,59;0,1;100,9;101,4;101,3;101,4;1459,3;-0,01;-2,89;1459,4;1466,9;1495,3;1502,8;6,79;1,34;1,8;6,7;6,66;6,72;6,67;1,3592;-1,67;3,06;1,3823;1,3704;1,3348;1,32;176208;20,64;-1,7;146060;172725;153059;179251
2014_07;0;0;13,14;96,56;0,73;1,75;95,86;95,41;95,06;94,9;23,67;-3,27;-7,72;24,47;25,93;25,73;25,65;99,9;-1,58;-0,49;-0,4;101,6;99,5;101,3;100,3;1455,8;-0,24;-2,64;1459,3;1459,4;1466,9;1495,3;6,75;-0,59;0,45;6,79;6,7;6,66;6,72;1,3539;-1,98;3,51;1,3813;1,361;1,3635;1,31;154036;-12,58;0,64;176208;146060;172725;153059
2014_08;0;0;13,24;96,56;0,73;1,75;95,86;95,41;95,06;94,9;23,67;-3,27;-7,72;24,47;25,93;25,73;25,65;100;0,1;-0,49;-0,5;101,5;99,4;101,4;100,5;1455,8;-0,24;-2,64;1459,3;1459,4;1466,9;1495,3;6,75;-0,59;0,45;6,79;6,7;6,66;6,72;1,3316;-3,03;0,05;1,3732;1,3659;1,3493;1,33;154036;-12,58;0,64;176208;146060;172725;153059
2014_09;0;0;13,02;96,56;0,73;1,75;95,86;95,41;95,06;94,9;23,67;-3,27;-7,72;24,47;25,93;25,73;25,65;101;1;-0,49;-0,3;101,5;100,9;101,4;101,3;1455,8;-0,24;-2,64;1459,3;1459,4;1466,9;1495,3;6,75;-0,59;0,45;6,79;6,7;6,66;6,72;1,2901;-5,08;-3,35;1,3592;1,3823;1,3704;1,33;154036;-12,58;0,64;176208;146060;172725;153059
2014_10;0;0;12,91;97,39;0,86;2,45;96,56;95,86;95,41;95,06;23,7;0,13;-7,89;23,67;24,47;25,93;25,73;101,1;0,1;-0,79;-0,2;99,9;101,6;99,5;101,3;1463,1;0,5;-0,26;1455,8;1459,3;1459,4;1466,9;6,71;-0,59;0,75;6,75;6,79;6,7;6,66;1,2673;-6,4;-7,06;1,3539;1,3813;1,361;1,36;179861;16,77;4,13;154036;176208;146060;172725
2014_11;0;0;12,73;97,39;0,86;2,45;96,56;95,86;95,41;95,06;23,7;0,13;-7,89;23,67;24,47;25,93;25,73;100,9;-0,2;-0,79;-0,49;100;101,5;99,4;101,4;1463,1;0,5;-0,26;1455,8;1459,3;1459,4;1466,9;6,71;-0,59;0,75;6,75;6,79;6,7;6,66;1,2472;-6,34;-7,57;1,3316;1,3732;1,3659;1,35;179861;16,77;4,13;154036;176208;146060;172725
2014_12;0;0;12,51;97,39;0,86;2,45;96,56;95,86;95,41;95,06;23,7;0,13;-7,89;23,67;24,47;25,93;25,73;100,2;-0,69;-0,79;-1,18;101;101,5;100,9;101,4;1463,1;0,5;-0,26;1455,8;1459,3;1459,4;1466,9;6,71;-0,59;0,75;6,75;6,79;6,7;6,66;1,2331;-4,42;-10,02;1,2901;1,3592;1,3823;1,37;179861;16,77;4,13;154036;176208;146060;172725
2015_01;0;0;12,55;98,51;1,15;3,25;97,39;96,56;95,86;95,41;23,78;0,34;-8,29;23,7;23,67;24,47;25,93;98;-2,2;0;-1,51;101,1;99,9;101,6;99,5;1457,9;-0,36;-0,1;1463,1;1455,8;1459,3;1459,4;6,59;-1,79;-1,64;6,71;6,75;6,79;6,7;1,1621;-8,3;-14,61;1,2673;1,3539;1,3813;1,36;153852;-14,46;5,33;179861;154036;176208;146060
2015_02;0;0;12,5;98,51;1,15;3,25;97,39;96,56;95,86;95,41;23,78;0,34;-8,29;23,7;23,67;24,47;25,93;98,2;0,2;0;-1,21;100,9;100;101,5;99,4;1457,9;-0,36;-0,1;1463,1;1455,8;1459,3;1459,4;6,59;-1,79;-1,64;6,71;6,75;6,79;6,7;1,135;-9;-16,9;1,2472;1,3316;1,3732;1,37;153852;-14,46;5,33;179861;154036;176208;146060
2015_03;0;0;12,09;98,51;1,15;3,25;97,39;96,56;95,86;95,41;23,78;0,34;-8,29;23,7;23,67;24,47;25,93;100,2;2,04;0;-0,69;100,2;101;101,5;100,9;1457,9;-0,36;-0,1;1463,1;1455,8;1459,3;1459,4;6,59;-1,79;-1,64;6,71;6,75;6,79;6,7;1,0838;-12,11;-21,59;1,2331;1,2901;1,3592;1,38;153852;-14,46;5,33;179861;154036;176208;146060
2015_04;0;0;11,95;99,57;1,08;3,87;98,51;97,39;96,56;95,86;22,37;-5,93;-8,58;23,78;23,7;23,67;24,47;100,8;0,6;1,3;-0,79;98;101,1;99,9;101,6;1476,8;1,3;1,2;1457,9;1463,1;1455,8;1459,3;6,71;1,82;-1,18;6,59;6,71;6,75;6,79;1,0779;-7,25;-21,96;1,1621;1,2673;1,3539;1,38;185786;20,76;5,44;153852;179861;154036;176208
2015_05;0;0;11,42;99,57;1,08;3,87;98,51;97,39;96,56;95,86;22,37;-5,93;-8,58;23,78;23,7;23,67;24,47;101,3;0,5;1,3;-0,2;98,2;100,9;100;101,5;1476,8;1,3;1,2;1457,9;1463,1;1455,8;1459,3;6,71;1,82;-1,18;6,59;6,71;6,75;6,79;1,115;-1,76;-18,8;1,135;1,2472;1,3316;1,37;185786;20,76;5,44;153852;179861;154036;176208
2015_06;0;0;11;99,57;1,08;3,87;98,51;97,39;96,56;95,86;22,37;-5,93;-8,58;23,78;23,7;23,67;24,47;101,5;0,2;1,3;0;100,2;100,2;101;101,5;1476,8;1,3;1,2;1457,9;1463,1;1455,8;1459,3;6,71;1,82;-1,18;6,59;6,71;6,75;6,79;1,1213;3,46;-17,5;1,0838;1,2331;1,2901;1,36;185786;20,76;5,44;153852;179861;154036;176208
2015_07;0;0;10,92;100,47;0,9;4,05;99,57;98,51;97,39;96,56;21,18;-5,32;-10,52;22,37;23,78;23,7;23,67;99,9;-1,58;-1,58;0;100,8;98;101,1;99,9;1476;-0,05;1,39;1476,8;1457,9;1463,1;1455,8;6,65;-0,89;-1,48;6,71;6,59;6,71;6,75;1,0996;2,01;-18,78;1,0779;1,1621;1,2673;1,35;159970;-13,9;3,85;185786;153852;179861;154036
2015_08;0;0;10,95;100,47;0,9;4,05;99,57;98,51;97,39;96,56;21,18;-5,32;-10,52;22,37;23,78;23,7;23,67;99,5;-0,4;-1,58;-0,5;101,3;98,2;100,9;100;1476;-0,05;1,39;1476,8;1457,9;1463,1;1455,8;6,65;-0,89;-1,48;6,71;6,59;6,71;6,75;1,1139;-0,1;-16,35;1,115;1,135;1,2472;1,33;159970;-13,9;3,85;185786;153852;179861;154036
2015_09;0;0;10,66;100,47;0,9;4,05;99,57;98,51;97,39;96,56;21,18;-5,32;-10,52;22,37;23,78;23,7;23,67;99,9;0,4;-1,58;-1,09;101,5;100,2;100,2;101;1476;-0,05;1,39;1476,8;1457,9;1463,1;1455,8;6,65;-0,89;-1,48;6,71;6,59;6,71;6,75;1,1221;0,07;-13,02;1,1213;1,0838;1,2331;1,29;159970;-13,9;3,85;185786;153852;179861;154036
2015_10;0;0;10,53;101,45;0,98;4,17;100,47;99,57;98,51;97,39;20,9;-1,32;-11,81;21,18;22,37;23,78;23,7;100,2;0,3;0,2;-0,89;99,9;100,8;98;101,1;1490,1;0,96;1,85;1476;1476,8;1457,9;1463,1;6,65;0;-0,89;6,65;6,71;6,59;6,71;1,1235;2,17;-11,35;1,0996;1,0779;1,1621;1,27;182564;14,12;1,5;159970;185786;153852;179861
2015_11;0;0;10,32;101,45;0,98;4,17;100,47;99,57;98,51;97,39;20,9;-1,32;-11,81;21,18;22,37;23,78;23,7;100,5;0,3;0,2;-0,4;99,5;101,3;98,2;100,9;1490,1;0,96;1,85;1476;1476,8;1457,9;1463,1;6,65;0;-0,89;6,65;6,71;6,59;6,71;1,0736;-3,62;-13,92;1,1139;1,115;1,135;1,25;182564;14,12;1,5;159970;185786;153852;179861
2015_12;0;0;10,12;101,45;0,98;4,17;100,47;99,57;98,51;97,39;20,9;-1,32;-11,81;21,18;22,37;23,78;23,7;100,1;-0,4;0,2;-0,1;99,9;101,5;100,2;100,2;1490,1;0,96;1,85;1476;1476,8;1457,9;1463,1;6,65;0;-0,89;6,65;6,71;6,59;6,71;1,0877;-3,07;-11,79;1,1221;1,1213;1,0838;1,23;182564;14,12;1,5;159970;185786;153852;179861
2016_01;0;0;10,12;102,14;0,68;3,68;101,45;100,47;99,57;98,51;21;0,48;-11,69;20,9;21,18;22,37;23,78;97,6;-2,5;-0,9;-0,41;100,2;99,9;100,8;98;1492,4;0,15;2,37;1490,1;1476;1476,8;1457,9;6,69;0,6;1,52;6,65;6,65;6,71;6,59;1,086;-3,34;-6,55;1,1235;1,0996;1,0779;1,16;157973;-13,47;2,68;182564;159970;185786;153852
2016_02;0;0;10,1;102,14;0,68;3,68;101,45;100,47;99,57;98,51;21;0,48;-11,69;20,9;21,18;22,37;23,78;97,2;-0,41;-0,9;-1,02;100,5;99,5;101,3;98,2;1492,4;0,15;2,37;1490,1;1476;1476,8;1457,9;6,69;0,6;1,52;6,65;6,65;6,71;6,59;1,1093;3,33;-2,26;1,0736;1,1139;1,115;1,14;157973;-13,47;2,68;182564;159970;185786;153852
2016_03;0;0;9,99;102,14;0,68;3,68;101,45;100,47;99,57;98,51;21;0,48;-11,69;20,9;21,18;22,37;23,78;99,2;2,06;-0,9;-1;100,1;99,9;101,5;100,2;1492,4;0,15;2,37;1490,1;1476;1476,8;1457,9;6,69;0,6;1,52;6,65;6,65;6,71;6,59;1,11;2,05;2,42;1,0877;1,1221;1,1213;1,08;157973;-13,47;2,68;182564;159970;185786;153852
2016_04;0;0;9,91;102,56;0,41;3;102,14;101,45;100,47;99,57;20;-4,76;-10,59;21;20,9;21,18;22,37;99,7;0,5;1,41;-1,09;97,6;100,2;99,9;100,8;1506,4;0,94;2;1492,4;1490,1;1476;1476,8;6,69;0;-0,3;6,69;6,65;6,65;6,71;1,1339;4,41;5,2;1,086;1,1235;1,0996;1,08;193128;22,25;3,95;157973;182564;159970;185786
2016_05;0;0;9,84;102,56;0,41;3;102,14;101,45;100,47;99,57;20;-4,76;-10,59;21;20,9;21,18;22,37;100,2;0,5;1,41;-1,09;97,2;100,5;99,5;101,3;1506,4;0,94;2;1492,4;1490,1;1476;1476,8;6,69;0;-0,3;6,69;6,65;6,65;6,71;1,1311;1,97;1,44;1,1093;1,0736;1,1139;1,12;193128;22,25;3,95;157973;182564;159970;185786
2016_06;0;0;9,44;102,56;0,41;3;102,14;101,45;100,47;99,57;20;-4,76;-10,59;21;20,9;21,18;22,37;100,6;0,4;1,41;-0,89;99,2;100,1;99,9;101,5;1506,4;0,94;2;1492,4;1490,1;1476;1476,8;6,69;0;-0,3;6,69;6,65;6,65;6,71;1,1229;1,16;0,14;1,11;1,0877;1,1221;1,12;193128;22,25;3,95;157973;182564;159970;185786
2016_07;0;0;9,38;103,44;0,86;2,96;102,56;102,14;101,45;100,47;18,91;-5,45;-10,72;20;21;20,9;21,18;99,3;-1,29;-0,7;-0,6;99,7;97,6;100,2;99,9;1499,7;-0,44;1,61;1506,4;1492,4;1490,1;1476;6,67;-0,3;0,3;6,69;6,69;6,65;6,65;1,1069;-2,38;0,66;1,1339;1,086;1,1235;1,1;161601;-16,32;1,02;193128;157973;182564;159970
2016_08;0;0;9,39;103,44;0,86;2,96;102,56;102,14;101,45;100,47;18,91;-5,45;-10,72;20;21;20,9;21,18;99,2;-0,1;-0,7;-0,3;100,2;97,2;100,5;99,5;1499,7;-0,44;1,61;1506,4;1492,4;1490,1;1476;6,67;-0,3;0,3;6,69;6,69;6,65;6,65;1,1212;-0,88;0,66;1,1311;1,1093;1,0736;1,11;161601;-16,32;1,02;193128;157973;182564;159970
2016_09;0;0;9,21;103,44;0,86;2,96;102,56;102,14;101,45;100,47;18,91;-5,45;-10,72;20;21;20,9;21,18;99,9;0,71;-0,7;0;100,6;99,2;100,1;99,9;1499,7;-0,44;1,61;1506,4;1492,4;1490,1;1476;6,67;-0,3;0,3;6,69;6,69;6,65;6,65;1,1212;-0,15;-0,08;1,1229;1,11;1,0877;1,12;161601;-16,32;1,02;193128;157973;182564;159970
2016_10;0;0;9,26;104,01;0,55;2,52;103,44;102,56;102,14;101,45;18,63;-1,48;-10,86;18,91;20;21;20,9;100,7;0,8;1,6;0,5;99,3;99,7;97,6;100,2;1512;0,82;1,47;1499,7;1506,4;1492,4;1490,1;6,69;0,3;0,6;6,67;6,69;6,69;6,65;1,1026;-0,39;-1,86;1,1069;1,1339;1,086;1,12;187889;16,27;2,92;161601;193128;157973;182564
2016_11;0;0;9,21;104,01;0,55;2,52;103,44;102,56;102,14;101,45;18,63;-1,48;-10,86;18,91;20;21;20,9;101;0,3;1,6;0,5;99,2;100,2;97,2;100,5;1512;0,82;1,47;1499,7;1506,4;1492,4;1490,1;6,69;0,3;0,6;6,67;6,69;6,69;6,65;1,0799;-3,68;0,59;1,1212;1,1311;1,1093;1,07;187889;16,27;2,92;161601;193128;157973;182564
2016_12;0;0;9,11;104,01;0,55;2,52;103,44;102,56;102,14;101,45;18,63;-1,48;-10,86;18,91;20;21;20,9;101,5;0,5;1,6;1,4;99,9;100,6;99,2;100,1;1512;0,82;1,47;1499,7;1506,4;1492,4;1490,1;6,69;0,3;0,6;6,67;6,69;6,69;6,65;1,0543;-5,97;-3,07;1,1212;1,1229;1,11;1,09;187889;16,27;2,92;161601;193128;157973;182564
2017_01;0;0;9,17;104,82;0,78;2,62;104,01;103,44;102,56;102,14;18,75;0,64;-10,71;18,63;18,91;20;21;100,5;-0,99;-0,2;2,97;100,7;99,3;99,7;97,6;1525,8;0,91;2,24;1512;1499,7;1506,4;1492,4;6,77;1,2;1,2;6,69;6,67;6,69;6,69;1,0614;-3,74;-2,27;1,1026;1,1069;1,1339;1,09;161835;-13,87;2,44;187889;161601;193128;157973
2017_02;0;0;9,14;104,82;0,78;2,62;104,01;103,44;102,56;102,14;18,75;0,64;-10,71;18,63;18,91;20;21;100,2;-0,3;-0,2;3,09;101;99,2;100,2;97,2;1525,8;0,91;2,24;1512;1499,7;1506,4;1492,4;6,77;1,2;1,2;6,69;6,67;6,69;6,69;1,0643;-1,44;-4,06;1,0799;1,1212;1,1311;1,11;161835;-13,87;2,44;187889;161601;193128;157973
2017_03;0;0;8,83;104,82;0,78;2,62;104,01;103,44;102,56;102,14;18,75;0,64;-10,71;18,63;18,91;20;21;101,3;1,1;-0,2;2,12;101,5;99,9;100,6;99,2;1525,8;0,91;2,24;1512;1499,7;1506,4;1492,4;6,77;1,2;1,2;6,69;6,67;6,69;6,69;1,0685;1,35;-3,74;1,0543;1,1212;1,1229;1,11;161835;-13,87;2,44;187889;161601;193128;157973
2017_04;0;0;8,85;105,9;1,03;3,26;104,82;104,01;103,44;102,56;17,22;-8,16;-13,9;18,75;18,63;18,91;20;102,2;0,89;0,89;2,51;100,5;100,7;99,3;99,7;1530;0,28;1,57;1525,8;1512;1499,7;1506,4;6,77;0;1,2;6,77;6,69;6,67;6,69;1,0723;1,03;-5,43;1,0614;1,1026;1,1069;1,13;199989;23,58;3,55;161835;187889;161601;193128
2017_05;0;0;8,74;105,9;1,03;3,26;104,82;104,01;103,44;102,56;17,22;-8,16;-13,9;18,75;18,63;18,91;20;102,2;0;0,89;2;100,2;101;99,2;100,2;1530;0,28;1,57;1525,8;1512;1499,7;1506,4;6,77;0;1,2;6,77;6,69;6,67;6,69;1,1058;3,9;-2,24;1,0643;1,0799;1,1212;1,13;199989;23,58;3,55;161835;187889;161601;193128
2017_06;0;0;8,41;105,9;1,03;3,26;104,82;104,01;103,44;102,56;17,22;-8,16;-13,9;18,75;18,63;18,91;20;102,2;0;0,89;1,59;101,3;101,5;99,9;100,6;1530;0,28;1,57;1525,8;1512;1499,7;1506,4;6,77;0;1,2;6,77;6,69;6,67;6,69;1,1229;5,09;0;1,0685;1,0543;1,1212;1,12;199989;23,58;3,55;161835;187889;161601;193128
2017_07;0;0;8,47;106,56;0,62;3,02;105,9;104,82;104,01;103,44;16,38;-4,88;-13,38;17,22;18,75;18,63;18,91;101;-1,17;-0,39;1,71;102,2;100,5;100,7;99,3;1540;0,65;2,69;1530;1525,8;1512;1499,7;6,79;0,3;1,8;6,77;6,77;6,69;6,67;1,1511;7,35;3,99;1,0723;1,0614;1,1026;1,11;165470;-17,26;2,39;199989;161835;187889;161601
2017_08;0;0;8,48;106,56;0,62;3,02;105,9;104,82;104,01;103,44;16,38;-4,88;-13,38;17,22;18,75;18,63;18,91;101,2;0,2;-0,39;2,02;102,2;100,2;101;99,2;1540;0,65;2,69;1530;1525,8;1512;1499,7;6,79;0,3;1,8;6,77;6,77;6,69;6,67;1,1807;6,77;5,31;1,1058;1,0643;1,0799;1,12;165470;-17,26;2,39;199989;161835;187889;161601
2017_09;0;0;8,33;106,56;0,62;3,02;105,9;104,82;104,01;103,44;16,38;-4,88;-13,38;17,22;18,75;18,63;18,91;101,8;0,59;-0,39;1,9;102,2;101,3;101,5;99,9;1540;0,65;2,69;1530;1525,8;1512;1499,7;6,79;0,3;1,8;6,77;6,77;6,69;6,67;1,1915;6,11;6,27;1,1229;1,0685;1,0543;1,12;165470;-17,26;2,39;199989;161835;187889;161601
2017_10;0;0;8,22;107,14;0,54;3,01;106,56;105,9;104,82;104,01;16,55;1,04;-11,16;16,38;17,22;18,75;18,63;102,4;0,59;0,88;1,69;101;102,2;100,5;100,7;1558,7;1,21;3,09;1540;1530;1525,8;1512;6,82;0,44;1,94;6,79;6,77;6,77;6,69;1,1756;2,13;6,62;1,1511;1,0723;1,0614;1,1;195659;18,24;4,14;165470;199989;161835;187889
2017_11;0;0;8,08;107,14;0,54;3,01;106,56;105,9;104,82;104,01;16,55;1,04;-11,16;16,38;17,22;18,75;18,63;102,7;0,29;0,88;1,68;101,2;102,2;100,2;101;1558,7;1,21;3,09;1540;1530;1525,8;1512;6,82;0,44;1,94;6,79;6,77;6,77;6,69;1,1738;-0,58;8,7;1,1807;1,1058;1,0643;1,08;195659;18,24;4,14;165470;199989;161835;187889
2017_12;0;0;7,79;107,14;0,54;3,01;106,56;105,9;104,82;104,01;16,55;1,04;-11,16;16,38;17,22;18,75;18,63;102,7;0;0,88;1,18;101,8;102,2;101,3;101,5;1558,7;1,21;3,09;1540;1530;1525,8;1512;6,82;0,44;1,94;6,79;6,77;6,77;6,69;1,1836;-0,66;12,26;1,1915;1,1229;1,0685;1,05;195659;18,24;4,14;165470;199989;161835;187889
2018_01;0;0;7,85;107,59;0,42;2,64;107,14;106,56;105,9;104,82;16,74;1,15;-10,72;16,55;16,38;17,22;18,75;101,2;-1,46;-0,1;0,7;102,4;101;102,2;100,5;1566,6;0,51;2,67;1558,7;1540;1530;1525,8;6,84;0,29;1,03;6,82;6,79;6,77;6,77;1,22;3,78;14,94;1,1756;1,1511;1,0723;1,06;166774;-14,76;3,05;195659;165470;199989;161835
2018_02;0;0;7,81;107,59;0,42;2,64;107,14;106,56;105,9;104,82;16,74;1,15;-10,72;16,55;16,38;17,22;18,75;101,4;0,2;-0,1;1,2;102,7;101,2;102,2;100,2;1566,6;0,51;2,67;1558,7;1540;1530;1525,8;6,84;0,29;1,03;6,82;6,79;6,77;6,77;1,2348;5,2;16,02;1,1738;1,1807;1,1058;1,06;166774;-14,76;3,05;195659;165470;199989;161835
2018_03;0;0;6,8;107,59;0,42;2,64;107,14;106,56;105,9;104,82;16,74;1,15;-10,72;16,55;16,38;17,22;18,75;102,6;1,18;-0,1;1,28;102,7;101,8;102,2;101,3;1566,6;0,51;2,67;1558,7;1540;1530;1525,8;6,84;0,29;1,03;6,82;6,79;6,77;6,77;1,2336;4,22;15,45;1,1836;1,1915;1,1229;1,07;166774;-14,76;3,05;195659;165470;199989;161835
2018_04;0;0;6,77;108,22;0,59;2,19;107,59;107,14;106,56;105,9;15,28;-8,72;-11,27;16,74;16,55;16,38;17,22;103,4;0,78;1,95;1,17;101,2;102,4;101;102,2;1587,9;1,36;3,78;1566,6;1558,7;1540;1530;6,91;1,02;2,07;6,84;6,82;6,79;6,77;1,2276;0,62;14,48;1,22;1,1756;1,1511;1,07;204005;22,32;2,01;166774;195659;165470;199989
2018_05;0;0;6,68;108,22;0,59;2,19;107,59;107,14;106,56;105,9;15,28;-8,72;-11,27;16,74;16,55;16,38;17,22;104,3;0,87;1,95;2,05;101,4;102,7;101,2;102,2;1587,9;1,36;3,78;1566,6;1558,7;1540;1530;6,91;1,02;2,07;6,84;6,82;6,79;6,77;1,1812;-4,34;6,82;1,2348;1,1738;1,1807;1,11;204005;22,32;2,01;166774;195659;165470;199989
